offer_id,property_type,area,condition,price_m2,built_in,house_area,land_area,built_up_area,terrain,energy_certificate,electricity,water,location_district,location_city,location_area,agency,office_city
JuSFm2ck_qD,house,200,unrenovated,835.00,1955,200,916,NULL,NULL,"not available",NULL,NULL,"okres Ružomberok",Ružomberok,Rybárpole,"NajBývanie, s.r.o.",Ružomberok
JuR9KTBJMCB,house,291,"partially renovated",326.46,2025,291,291,54,flat,"not available",NULL,"not available","okres Turčianske Teplice",Turček,Turček,"Reality Alpia",Martin
JuUyJggM4z1,house,110,"new construction",2345.45,2023,110,566,132,NULL,NULL,NULL,NULL,"okres Martin","Kláštor pod Znievom","Kláštor pod Znievom","Realitná kancelária",Bratislava
JuR4pf3ePqS,house,260,unrenovated,340.38,1940,260,817,168,flat,"not available",NULL,well,"okres Čadca",Makov,Makov,"1. Reality Rent, s.r.o.",Žilina
Jufy8CKURgq,house,300,unrenovated,813.33,1969,300,1764,140,"gently sloped","not available",NULL,well,"okres Žilina",Terchová,Terchová,"TARGETreal s. r. o.",Žilina
Jul6ieKbYlp,house,126,"new construction",1875.54,2025,126,240,NULL,other,"not available","not available","not available","okres Žilina",Višňové,Višňové,"MGM reality",Žilina
Juo6oycVN3c,house,415,"fully renovated",650.60,1937,415,2177,464,flat,"not available",NULL,NULL,"okres Martin",Sučany,Sučany,"R2 SK, s.r.o.",Žilina
Ju95SyJKFz2,house,415,"fully renovated",650.60,1937,415,2177,464,flat,"not available",NULL,NULL,"okres Martin",Sučany,Sučany,"R2 SK, s.r.o.",Žilina
JuLzQl1X89Z,house,250,unrenovated,1020.00,1934,250,1812,250,flat,"not available",on-site,"public water","okres Martin",Martin,Priekopa,"ALT REAL, s.r.o.",Martin
JuKWyVNMM2k,house,443,"partially renovated",NULL,1963,443,1138,473,sloped,"not available",NULL,"public water","okres Martin",Martin,Stráne,"Like Reality s.r.o.","Považská Bystrica"
JuGmc6FHo9t,house,101,"new construction",2570.97,2021,101,208,76,flat,A,NULL,"public water","okres Bytča",Bytča,"Hliník nad Váhom","Stanislav Motyčík - MK",Žilina
JuuHc7n3_6p,house,1694,"partially renovated",100.35,2025,1694,1694,NULL,other,"not available","not available",well,"okres Ružomberok",Ružomberok,"Nová Hrboltová","Reality Alpia",Martin
JuAHK-zDu1n,house,243,"new construction",NULL,2015,243,893,238,sloped,"not available",NULL,"public water","okres Martin",Martin,Stráne,"Like Reality s.r.o.","Považská Bystrica"
JupJ40WhVz4,house,1,"partially renovated",NULL,1950,1,NULL,75,flat,"not available",on-site,"public water","okres Bytča",Bytča,"Veľká Bytča","TOCA, s.r.o. Realitná činnosť",Bytča
