property_type,condition,location_district,location_area,gen_count,gen_avg_price,area_count,dis_avg_price,price_diff
house,"fully renovated","okres Bytča",Štiavnik,198,1549.545062,1,914.750000,-40.9665441533
house,"partially renovated","okres Liptovský Mikuláš",Važec,331,1370.453684,5,772.366000,-43.6415831474
house,"under construction","okres Čadca",Skalité,51,1843.917727,1,590.910000,-67.9535593510
house,"fully renovated","okres Žilina",Mojš,198,1549.545062,1,1840.000000,18.7445299348
house,unrenovated,"okres Liptovský Mikuláš","Liptovská Kokava",364,1025.187980,3,791.666667,-22.7783896764
house,"fully renovated","okres Dolný Kubín",Osádka,198,1549.545062,1,529.380000,-65.8364243169
house,"partially renovated","okres Čadca","Vysoká nad Kysucou",331,1370.453684,1,576.470000,-57.9358276219
house,unrenovated,"okres Martin","Karvaša a Bláhovca",364,1025.187980,2,1399.990000,36.5593459260
house,"new construction","okres Liptovský Mikuláš",Bobrovník,340,2114.287185,2,NULL,NULL
house,"new construction","okres Martin",Stráne,340,2114.287185,3,2514.695000,18.9381942927
house,"new construction","okres Žilina",Svederník,340,2114.287185,6,2635.048000,24.6305619546
house,"fully renovated","okres Čadca",Makov,198,1549.545062,5,1443.582500,-6.8383014214
house,"partially renovated","okres Žilina",Stráňavy,331,1370.453684,1,NULL,NULL
house,"under construction","okres Čadca","Stará Bystrica",51,1843.917727,2,1961.000000,6.3496473452
house,"partially renovated","okres Kysucké Nové Mesto","Horný Vadičov",331,1370.453684,2,1998.265000,45.8104730813
house,"partially renovated","okres Martin",Priekopa,331,1370.453684,8,14876.970000,985.5507321180
house,"new construction","okres Žilina","Žilinská Lehota",340,2114.287185,5,1556.935000,-26.3612336562
house,"fully renovated","okres Martin","Kláštor pod Znievom",198,1549.545062,4,1102.645000,-28.8407270598
house,"fully renovated","okres Martin",Lipovec,198,1549.545062,1,1871.350000,20.7677043986
house,unrenovated,"okres Kysucké Nové Mesto","Budatínska Lehota",364,1025.187980,3,1161.516667,13.2979209335
house,"partially renovated","okres Liptovský Mikuláš",Bukovina,331,1370.453684,2,955.265000,-30.2957107451
house,"new construction","okres Ružomberok","Staré mesto",340,2114.287185,3,1699.816667,-19.6033216746
house,"new construction","okres Žilina",Višňové,340,2114.287185,5,1965.087500,-7.0567369494
house,"partially renovated","okres Turčianske Teplice",Háj,331,1370.453684,2,661.875000,-51.7039497411
house,unrenovated,"okres Turčianske Teplice",Turček,364,1025.187980,3,771.845000,-24.7118562588
house,"fully renovated","okres Čadca",Svrčinovec,198,1549.545062,1,421.430000,-72.8029851900
house,"partially renovated","okres Martin","Karvaša a Bláhovca",331,1370.453684,1,1180.910000,-13.8307252710
house,"partially renovated","okres Ružomberok","Staré mesto",331,1370.453684,2,939.585000,-31.4398574013
house,"new construction","okres Žilina",Turie,340,2114.287185,4,2447.833333,15.7758203505
house,unrenovated,"okres Čadca","Stará Bystrica",364,1025.187980,1,1249.880000,21.9171531839
house,"new construction","okres Žilina",Budatín,340,2114.287185,4,2159.066667,2.1179469997
house,unrenovated,"okres Čadca",Olešná,364,1025.187980,2,449.265000,-56.1773051611
house,unrenovated,"okres Liptovský Mikuláš","Uhorská Ves",364,1025.187980,1,389.210000,-62.0352552319
house,unrenovated,"okres Žilina",Bytčica,364,1025.187980,4,1672.220000,63.1135004138
house,unrenovated,"okres Čadca",Horelica,364,1025.187980,4,963.197500,-6.0467427642
house,"partially renovated","okres Liptovský Mikuláš",Demänová,331,1370.453684,1,1822.150000,32.9596192322
house,"partially renovated","okres Liptovský Mikuláš","Liptovská Porúbka",331,1370.453684,2,381.105000,-72.1913258033
house,"under construction","okres Ružomberok",Gejdák,51,1843.917727,1,1531.180000,-16.9605033034
house,unrenovated,"okres Tvrdošín",Zábiedovo,364,1025.187980,1,710.530000,-30.6927106188
house,unrenovated,"okres Dolný Kubín",Veličná,364,1025.187980,1,1058.820000,3.2805710422
house,"partially renovated","okres Žilina",Varín,331,1370.453684,3,1062.536667,-22.4682541698
house,unrenovated,"okres Žilina",Rajec,364,1025.187980,3,1358.465000,32.5088692515
house,"new construction","okres Ružomberok",Rybárpole,340,2114.287185,1,3322.920000,57.1650258099
house,"fully renovated","okres Žilina",Terchová,198,1549.545062,7,1682.482000,8.5790946814
house,"under construction","okres Martin",Priekopa,51,1843.917727,2,3333.330000,80.7743345156
house,unrenovated,"okres Liptovský Mikuláš",Dúbrava,364,1025.187980,2,1184.210000,15.5114986814
house,unrenovated,"okres Dolný Kubín",Záskalie,364,1025.187980,1,NULL,NULL
house,unrenovated,"okres Čadca",Podzávoz,364,1025.187980,1,1458.330000,42.2500096031
house,"partially renovated","okres Čadca","Stará Bystrica",331,1370.453684,1,877.560000,-35.9657308930
house,"new construction","okres Žilina","Dolný Hričov",340,2114.287185,1,NULL,NULL
house,"fully renovated","okres Bytča","Bytča - sever",198,1549.545062,1,1868.750000,20.5999132150
house,"partially renovated","okres Dolný Kubín",Istebné,331,1370.453684,1,1801.390000,31.4447924093
house,"new construction","okres Dolný Kubín",Mokraď,340,2114.287185,1,NULL,NULL
house,"partially renovated","okres Martin",Necpaly,331,1370.453684,2,1149.675000,-16.1098975162
house,"fully renovated","okres Žilina",Rosina,198,1549.545062,2,1552.670000,0.2016680945
house,"partially renovated","okres Liptovský Mikuláš","Liptovský Trnovec",331,1370.453684,8,968.511667,-29.3291208373
house,"partially renovated","okres Tvrdošín",Vitanová,331,1370.453684,2,979.165000,-28.5517627168
house,"new construction","okres Kysucké Nové Mesto","Budatínska Lehota",340,2114.287185,1,2420.170000,14.4674203755
house,"new construction","okres Žilina",Hôrky,340,2114.287185,6,2930.930000,38.6249711389
house,unrenovated,"okres Čadca",Zákopčie,364,1025.187980,7,1109.500000,8.2240546753
house,unrenovated,"okres Žilina",Gbeľany,364,1025.187980,1,2222.220000,116.7621980898
house,"partially renovated","okres Žilina",Závodie,331,1370.453684,3,1544.746667,12.7179039347
house,unrenovated,"okres Ružomberok","Liptovská Lúžna",364,1025.187980,5,866.415000,-15.4872065511
house,"partially renovated","okres Žilina","Dlhé Pole",331,1370.453684,1,1491.670000,8.8449772083
house,"fully renovated","okres Čadca",Horelica,198,1549.545062,1,NULL,NULL
house,"partially renovated","okres Čadca",Blažkov,331,1370.453684,2,NULL,NULL
house,"fully renovated","okres Žilina",Brodno,198,1549.545062,2,1818.065000,17.3289531608
house,"partially renovated","okres Turčianske Teplice",Stred,331,1370.453684,1,990.000000,-27.7611486212
house,"new construction","okres Žilina",Terchová,340,2114.287185,4,2187.095000,3.4436104762
house,"partially renovated","okres Žilina",Ďurčiná,331,1370.453684,1,725.000000,-47.0978108590
house,"fully renovated","okres Liptovský Mikuláš",Dúbrava,198,1549.545062,3,2062.260000,33.0880947301
house,"new construction","okres Martin",Sever,340,2114.287185,2,1649.500000,-21.9831623773
house,unrenovated,"okres Žilina","Malá Čierna",364,1025.187980,3,82.573333,-91.9455422214
house,"new construction","okres Liptovský Mikuláš",Benice,340,2114.287185,1,2599.910000,22.9686306782
