agency,apt_listings,apt_pricing_idx,apt_top5,house_listings,house_pricing_idx,house_top5,land_listings,land_pricing_idx,land_top5
Limaxreal,5,-0.04530000,NULL,2,0.00000000,NULL,4,-0.06736667,NULL
liptoreal,2,0.09940000,NULL,5,-0.01656667,NULL,3,0.01623333,NULL
"Local reality s. r. o.",1,0.09920000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LOYAL REALITY s.r.o.",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"LuxReality, s.r.o.",1,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"M&G, s.r.o.",NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
"Mamud Reality s. r. o.",1,0.14320000,NULL,3,-0.00420000,NULL,6,-0.17336667,NULL
"MartinTham s. r. o.",NULL,NULL,NULL,NULL,NULL,NULL,1,0.10730000,NULL
"MAX PROFI REALITY",1,0.04820000,NULL,1,0.00000000,NULL,5,-0.09432500,NULL
Maxareality,1,0.00000000,NULL,NULL,NULL,NULL,1,NULL,NULL
"MENÍME BÝVANIE",2,0.01505000,NULL,2,0.00000000,NULL,NULL,NULL,NULL
"MENS s. r. o.",3,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"MG real, s.r.o.",1,-0.01140000,NULL,1,0.05840000,NULL,NULL,NULL,NULL
"MGM reality",26,-0.01592353,NULL,26,0.02371176,NULL,25,-0.07310000,NULL
"Mgr. Nina Herčková, RSc.",NULL,NULL,NULL,1,NULL,NULL,1,-0.08490000,NULL
"Mgr. Renáta Kolenčíková",NULL,NULL,NULL,1,-0.23950000,NULL,1,0.00000000,NULL
"Mgr. Silvia Lukáčová - RealPoint",1,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
"MK-CORP s.r.o.",8,-0.27681250,NULL,1,0.00000000,NULL,NULL,NULL,NULL
"ML realitný& finančny servis s.r.o. , BrokerSoft s.r.o. , Monika Launerová - SZČO",2,-0.13360000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
mojaRK,NULL,NULL,NULL,1,0.00000000,NULL,NULL,NULL,NULL
"MS Alpex, k.s.",NULL,NULL,NULL,NULL,NULL,NULL,1,0.02990000,NULL
"NajBývanie, s.r.o.",15,-0.02670769,NULL,18,0.06635882,NULL,1,0.00000000,NULL
NajlepšíMakléri.sk,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
"Nestor Capital s.r.o.",NULL,NULL,NULL,2,0.24680000,NULL,NULL,NULL,NULL
"New Ways Reality&Financie",NULL,NULL,NULL,2,-0.10645000,NULL,1,0.00000000,NULL
"NFA Group, s.r.o.",NULL,NULL,NULL,NULL,NULL,NULL,2,-0.49825000,NULL
"NIKO-REAL, s.r.o.",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Nové bývanie",3,0.34100000,NULL,9,-0.02134444,NULL,3,-0.11026667,NULL
